userids,tweets,tokens,nodes,edges,avg_degrees,DENS,OUT,SS,IS,RIS,ABC,RBC,ACC,country,type,alpha-6,alpha-8
4464028047,83111,930242,91,688,15.1209,0.084,0.766667,0.019202163624070318,0.06630986955212573,0.0012347383313802034,0.9747974797479748,0.4729,0.920099875156055,us,rural,0.54,0.41
1541445696557121541,71792,1150098,44,395,17.9545,0.2088,0.930233,0.040973630831643,0.033370567152001394,0.0015684189970558563,0.9357935793579358,0.5719000000000001,0.9463171036204744,us,rural,0.58,0.46
523702281,153090,2416741,72,318,8.8333,0.0622,0.915493,0.010006761325219743,0.10497605703573476,0.00047632403821812927,0.9396939693969397,0.40680000000000005,0.5880149812734082,us,rural,0.49,0.38
3416122175,46078,731816,48,240,10.0,0.1064,0.808511,0.01757944557133198,0.03376880712558157,0.0001421615486609274,0.930993099309931,0.2905,0.7565543071161049,uk,rural,0.47,0.37
711543617010032640,49694,688205,29,95,6.5517,0.117,0.678571,0.029885057471264367,0.05322817207852127,7.532905074948704e-06,0.9606960696069606,0.8719,0.867665418227216,us,rural,0.58,0.45
2992248049,43133,845108,40,269,13.45,0.1724,0.846154,0.03597025016903312,0.019614775674336834,0.0006453031990179537,0.9711971197119712,0.7196,0.9675405742821473,au,au,0.59,0.47
1496506764753358854,82829,709895,130,458,7.0462,0.0273,0.6976739999999999,0.009601081812035159,0.019651685720668655,0.0037885576770156602,0.961896189618962,0.4053,0.5555555555555556,us,urban,0.44,0.34
2499179546,87987,1261142,76,382,10.0526,0.067,0.7066669999999999,0.01852603110209601,0.023987644847648926,0.003219993744985873,0.9504950495049505,0.5092,0.8202247191011236,us,urban,0.5,0.39
1541943057616183297,15165,289731,16,32,4.0,0.1333,0.46666699999999994,0.019743069641649763,0.035416160772391285,0.0001427843941663444,0.9588958895889589,0.8,0.7902621722846442,us,rural,0.51,0.4
4071460163,145823,1905945,84,1496,35.619,0.2146,0.903614,0.04976335361730899,0.09175448991287287,0.0016682858103583742,0.9666966696669667,0.742,0.9812734082397003,us,rural,0.62,0.49
79136463,232861,3571532,149,947,12.7114,0.0429,0.851351,0.013116970926301555,0.06593882645479004,0.05147289271181797,0.9816981698169817,0.7363999999999999,0.9500624219725343,us,urban,0.6,0.46
962512321812742145,213446,2500317,253,1698,13.4229,0.0266,0.900794,0.009465855307640297,0.01940885646848562,0.00032594797996689115,0.9885988598859886,0.40480000000000005,0.717852684144819,au,au,0.51,0.38
2768643930,962,11070,3,3,2.0,0.5,0.0,0.0021636240703177823,0.01748370615717852,0.0,0.49984998499849986,0.5,1.0,us,urban,0.34,0.31
810240828140421120,85640,1226104,111,571,10.2883,0.0468,0.809091,0.04543610547667342,0.04178800034967412,0.00012127859652647523,0.9717971797179717,0.3056,0.8439450686641699,au,au,0.5,0.38
1443671583781003271,158572,1518145,109,1529,28.055,0.1299,0.990741,0.03799864773495605,0.04937787145590706,0.0046530907421384006,0.9636963696369637,0.5963,0.8614232209737828,us,urban,0.58,0.45
501545676,202363,2761690,173,1050,12.1387,0.0353,0.901163,0.01271129141311697,0.037933814459024995,0.00046271545151486775,0.9822982298229823,0.5005,0.8027465667915106,au,au,0.54,0.41
1489191565448949761,17609,363534,12,22,3.6667,0.1667,0.909091,0.013657876943880999,0.023311608209571358,0.0,0.9795979597959796,0.9636,0.9375780274656679,uk,urban,0.64,0.5
2738275272,287826,5192059,189,754,7.9788,0.0212,0.7446809999999999,0.005138607167004733,0.03948015113692656,0.0009605452873728662,0.9915991599159916,0.8926000000000001,0.978776529338327,au,au,0.61,0.46
1380244734497722371,341754,3929141,164,1744,21.2683,0.0652,0.92638,0.016903313049357674,0.08680660107039133,0.002632403645535896,0.9723972397239724,0.6316999999999999,0.8951310861423221,us,urban,0.59,0.45
73311976,218782,3946028,208,817,7.8558,0.019,0.782609,0.004597701149425286,0.03873223704020281,0.0002622884685924807,0.9855985598559855,0.49339999999999995,0.6991260923845194,au,au,0.5,0.38
1057457483327963139,34166,507631,81,2529,62.4444,0.3903,0.975,0.11615956727518593,0.018418113119578836,0.0028062598041611554,0.9765976597659766,0.8889,0.9238451935081149,us,rural,0.65,0.54
709375504802029568,231515,2694905,150,859,11.4533,0.0384,0.872483,0.007707910750507099,0.03934416675570406,0.0010487308094983187,0.9714971497149715,0.3448,0.6579275905118602,us,urban,0.48,0.37
2830993664,110297,1771033,54,200,7.4074,0.0699,0.849057,0.01744421906693712,0.06103756082872767,0.0005655319671166247,0.9858985898589859,0.9513,0.9563046192259675,us,rural,0.64,0.49
969600505038233602,26969,381825,19,30,3.1579,0.0877,0.5,0.018255578093306288,0.035674531096714035,0.0020405358901619238,0.9978997899789979,0.9902,0.982521847690387,uk,urban,0.59,0.45
1443937874420719618,276117,3240812,204,4251,41.6765,0.1027,0.921182,0.036511156186612576,0.05896865560012821,0.18783837036915688,0.9792979297929792,0.7894,0.8664169787765293,au,au,0.61,0.49
134491406,40325,585670,29,44,3.0345,0.0542,0.357143,0.005273833671399593,0.01748370615717852,0.0,0.9810981098109811,0.8214,0.9001248439450686,us,urban,0.51,0.39
1137044032142696449,96111,1054586,62,252,8.129,0.0666,0.770492,0.010141987829614603,0.027010383378823347,0.0008945354156006558,0.9504950495049505,0.21519999999999995,0.8539325842696629,us,urban,0.47,0.36
965430126463696896,178284,1334261,93,324,6.9677,0.0379,0.847826,0.0067613252197430695,0.09828562547958777,0.005513228633317254,0.9378937893789379,0.5739000000000001,0.3420724094881399,us,urban,0.47,0.36
1066648779133075456,146257,2203610,63,254,8.0635,0.065,0.903226,0.01176470588235294,0.06687323341719037,0.0034424906120436014,0.9666966696669667,0.892,0.9850187265917603,au,au,0.64,0.49
3860253141,45939,362748,38,159,8.3684,0.1131,0.837838,0.015551048005409058,0.0642992433440502,0.0005228611740945674,0.9411941194119412,0.3236,0.9862671660424469,us,urban,0.53,0.41
