userids,tweets,tokens,nodes,edges,avg_degrees,densities,outliers,social_similarities,interactions,interactions_p,betweenness_mean,betweenness_range,closeness,country,type
1082201795252891648,52623,824023,47,332,14.1277,0.1536,13.0435,0.0157,2.2466,6.4887,0.0178,0.4147,0.0073,uk,urban
1239971151964540928,56762,960745,34,128,7.5294,0.1141,9.0909,0.0128,2.3661,4.3934,0.0301,0.1473,0.022,uk,rural
1358768149768896518,54280,872905,44,131,5.9545,0.0692,25.5814,0.0058,1.58,0.7174,0.0155,0.6011,0.007,uk,urban
1303067579611783169,77394,893592,45,252,11.2,0.1273,11.3636,0.0192,4.6607,216.5,0.0248,0.5704,0.0094,uk,urban
1154180290086129664,43974,470337,54,58,2.1481,0.0203,100.0,0.0104,0.3667,0.0,0.0017,0.0943,0.0038,uk,urban
1066187354,111319,1566841,82,378,9.2195,0.0569,27.1605,0.0098,2.7722,0.9091,0.0106,0.7039,0.0128,uk,rural
1522595767038496773,39149,949929,20,47,4.7,0.1237,52.6316,0.0098,0.9417,3.1852,0.0057,0.1053,0.0125,uk,rural
2442277834,76135,1099179,80,254,6.35,0.0402,30.3797,0.0105,1.5091,12.551,0.0115,0.55,0.0157,uk,urban
1446743259942989825,104678,410281,81,1217,30.0494,0.1878,2.5,0.0336,3.1769,5.9435,0.0117,0.4549,0.0149,uk,urban
1322342821,30101,373629,19,27,2.8421,0.0789,66.6667,0.0032,0.825,0.8333,0.0088,0.1634,0.0103,uk,rural
815240132567662592,29838,469332,27,68,5.037,0.0969,30.7692,0.0081,2.7125,4.8649,0.0226,0.5577,0.0068,uk,rural
1229009315572441088,88084,1147810,96,1050,21.875,0.1151,9.4737,0.019,2.4651,19.2402,0.0104,0.5049,0.0188,uk,rural
1105861436390162438,198738,2492288,105,545,10.381,0.0499,11.5385,0.0058,3.7466,6.1896,0.0132,0.4522,0.0281,uk,urban
1475749225510100995,23982,199154,32,145,9.0625,0.1462,16.129,0.0138,2.0714,0.0,0.0375,0.3279,0.0141,uk,urban
1609109935,65096,1102738,53,205,7.7358,0.0744,28.8462,0.0092,4.4637,63.4762,0.0161,0.3994,0.0332,uk,rural
