networkID,tweets,tokens,nodes,edges,avg_degrees,DENS,OUT,SocSim,IS,RIS,ABC,RBC,ACC,country,type,nsi
1487354008075341825,8989,80326,15,35,4.6667,0.1667,42.8571,0.0093,2.25,0.2287,0.0538,0.7885,0.0018,us,urban,0.35
1478162815,89834,1723531,53,257,9.6981,0.0933,11.5385,0.0157,1.9662,1.1795,0.0123,0.5112,0.0035,us,rural,0.43
946153132312137729,95255,1028205,58,325,11.2069,0.0983,19.2982,0.0073,5.8207,5.7294,0.0162,0.7763,0.0055,us,urban,0.39
3379595800,184438,2913774,110,605,11.0,0.0505,22.9358,0.0182,1.9576,16.7204,0.0068,0.2676,0.0106,us,urban,0.43
1252748378892632064,59806,553607,48,221,9.2083,0.098,27.6596,0.0093,4.8029,5.9183,0.0154,0.5395,0.0059,us,urban,0.41
1431484140973608962,133549,2155865,88,908,20.6364,0.1186,9.1954,0.0158,1.147,0.0,0.0097,0.178,0.0047,us,rural,0.48
1081855994202914816,8979,70402,5,7,2.8,0.35,50.0,0.0129,2.7,2.0,0.0833,0.4167,0.0118,us,urban,0.39
1494357709365387272,101252,1783226,63,214,6.7937,0.0548,43.5484,0.0059,5.3109,565.5,0.0036,0.0631,0.0055,us,urban,0.46
258887165,90496,822343,55,220,8.0,0.0741,24.0741,0.0075,4.7345,0.8215,0.0123,0.6231,0.0011,us,urban,0.41
998250309095800833,41736,566658,36,85,4.7222,0.0675,37.1429,0.0053,1.3275,1.6954,0.0179,0.3246,0.0242,us,rural,0.38
902677775189909504,20755,263486,44,52,2.3636,0.0275,76.7442,0.0051,0.0,0.0,0.0031,0.0908,0.0086,us,urban,0.38
889969971979321346,218272,3616059,114,1429,25.0702,0.1109,2.6549,0.0213,3.5627,10.6326,0.0114,0.233,0.0232,us,urban,0.45
418577432,76121,1067428,74,140,3.7838,0.0259,67.1233,0.0054,1.1,21.0,0.0059,0.3255,0.0124,us,urban,0.36
982046130887364608,7214,118956,6,7,2.3333,0.2333,100.0,0.0012,0.0,0.0,0.0667,0.4,0.0163,us,urban,0.3
179428862,29255,403099,15,40,5.3333,0.1905,35.7143,0.0137,3.25,9.8333,0.0271,0.3892,0.0029,us,urban,0.43
812666197359677440,4453,48973,4,4,2.0,0.3333,100.0,0.0497,0.3,0.0,0.0833,0.3333,0.0111,us,urban,0.34
