networkID,tweets,tokens,nodes,edges,avg_degrees,DENS,OUT,SocSim,IS,RIS,ABC,RBC,ACC,country,type,nsi
498776542,95864,1787474,111,668,12.036,0.0547,10.0,0.0166,1.519,2.8961,0.0076,0.5198,0.0218,au,au,0.4
335671756,101728,1750716,113,903,15.9823,0.0713,16.9643,0.0134,1.3611,12.2837,0.0085,0.4977,0.0159,au,au,0.4
1578226085585899523,27264,527733,25,121,9.68,0.2017,20.8333,0.0373,0.9524,11.5,0.0245,0.3199,0.0109,au,au,0.44
80263834,489242,6795158,338,1849,10.9408,0.0162,11.276,0.0045,5.2144,22.0111,0.0046,0.4382,0.043,au,au,0.38
1404680095281778690,118959,1616950,63,139,4.4127,0.0356,29.0323,0.0041,2.5828,0.0,0.0004,0.0061,0.0009,au,au,0.47
908198115106217985,159341,3040291,80,205,5.125,0.0324,24.0506,0.0029,1.61,22.0,0.0014,0.063,0.0032,au,au,0.47
1388066695915266051,98607,1328130,52,163,6.2692,0.0615,5.8824,0.0094,3.1132,2.8732,0.0138,0.0994,0.0091,au,au,0.48
93373645,346598,5604211,294,3525,23.9796,0.0409,5.4608,0.0287,3.6,2.021,0.0028,0.6205,0.0054,au,au,0.42
4686937518,322870,4739294,269,1211,9.0037,0.0168,18.2836,0.0089,1.7888,12.9196,0.0064,0.3828,0.0195,au,au,0.4
83947451,74289,1092524,47,197,8.383,0.0911,19.5652,0.0151,4.0607,411.8333,0.0318,0.4876,0.0117,au,au,0.41
1262248939207528449,261885,2936139,200,1341,13.41,0.0337,14.5729,0.0053,3.2119,5.5242,0.0021,0.3211,0.0039,au,au,0.45
3106820887,122294,2099895,83,289,6.9639,0.0425,17.0732,0.0057,3.9814,5.3453,0.0051,0.1538,0.0121,au,au,0.45
3301678363,47621,872943,36,132,7.3333,0.1048,28.5714,0.0212,0.7774,19.0833,0.0106,0.2192,0.0083,au,au,0.44
193529663,169080,2623134,159,447,5.6226,0.0178,31.0127,0.0056,2.314,3.4262,0.004,0.3332,0.0159,au,au,0.4
990013947276242944,92901,1146927,74,125,3.3784,0.0231,57.5342,0.0019,2.1275,0.8902,0.0023,0.0814,0.0059,au,au,0.42
2212355197,234884,3943386,133,636,9.5639,0.0362,17.4242,0.0041,4.3542,164.8298,0.0062,0.1027,0.0084,au,au,0.47
907527211,176796,2570424,141,680,9.6454,0.0344,8.5714,0.0069,2.0563,2.542,0.0046,0.4065,0.0095,au,au,0.43
1102483489281040385,146420,2017693,250,1119,8.952,0.018,16.8675,0.0107,1.29,2.0925,0.0067,0.5488,0.0384,au,au,0.36
1518650934,228557,5021534,110,338,6.1455,0.0282,20.1835,0.0038,2.4189,4.8539,0.0029,0.0423,0.006,au,au,0.47
274718884,136009,2255884,155,549,7.0839,0.023,31.8182,0.006,0.7904,2.6244,0.0029,0.3876,0.0043,au,au,0.41
594157554,331406,5091063,204,982,9.6275,0.0237,15.7635,0.0035,1.6774,8.7736,0.0022,0.052,0.0024,au,au,0.48
419863451,18346,206177,20,30,3.0,0.0789,36.8421,0.0073,0.3,0.0,0.0031,0.0497,0.0072,au,au,0.45
1491546326915760128,177874,3197993,75,320,8.5333,0.0577,8.1081,0.0079,2.7338,62.4643,0.0076,0.0677,0.0006,au,au,0.49
1214696704970113025,168516,3148588,88,487,11.0682,0.0636,8.046,0.0097,3.4786,6.2245,0.0222,0.4136,0.0176,au,au,0.42
406600441,52304,700083,52,196,7.5385,0.0739,21.5686,0.013,1.0077,2.9697,0.009,0.3205,0.0048,au,au,0.44
94508006,214211,3273506,142,662,9.3239,0.0331,16.3121,0.0043,2.4479,2.7303,0.0156,0.4027,0.0522,au,au,0.35
835084990127886336,39418,785265,140,755,10.7857,0.0388,11.5108,0.0135,0.7014,4.5495,0.0069,0.541,0.015,au,au,0.4
1460886496848744449,299062,3840874,341,5292,31.0381,0.0456,16.4706,0.0183,2.811,22.7391,0.0033,0.253,0.0021,au,au,0.46
2242769400,654839,9924008,374,3538,18.9198,0.0254,8.311,0.008,2.347,9.4065,0.0025,0.0734,0.0069,au,au,0.48
173898547,420383,5468601,246,3385,27.5203,0.0562,8.5714,0.0104,3.8736,11.9119,0.0022,0.4094,0.0032,au,au,0.45
1173372384037888000,112367,2244246,142,958,13.493,0.0478,8.5106,0.0152,0.8112,8.9846,0.0081,0.4172,0.0467,au,au,0.37
1020122912253022209,37576,567859,26,70,5.3846,0.1077,24.0,0.0095,2.4,0.0,0.0172,0.1375,0.0143,au,au,0.44
948503715937361920,18764,443064,11,18,3.2727,0.1636,60.0,0.0078,1.3125,0.25,0.0323,0.3556,0.0091,au,au,0.38
535859298,138356,2701590,89,297,6.6742,0.0379,22.7273,0.0054,1.8361,5.1538,0.0034,0.2122,0.0044,au,au,0.45
39242008,225100,2871050,182,524,5.7582,0.0159,28.7293,0.0031,3.0646,2.0299,0.0013,0.1723,0.0023,au,au,0.45
1575953945163599872,109200,1740337,89,480,10.7865,0.0613,6.8182,0.0076,1.6176,10.0365,0.0087,0.5201,0.0185,au,au,0.41
3140878290,55899,843653,45,98,4.3556,0.0495,34.0909,0.0029,0.8593,2.8667,0.0222,0.4774,0.0336,au,au,0.35
223605236,226055,3676457,186,1540,16.5591,0.0448,14.0541,0.0148,2.1959,20.5696,0.011,0.3668,0.0097,au,au,0.43
952809243719057408,86165,1590528,112,310,5.5357,0.0249,31.5315,0.003,0.6304,0.5508,0.0061,0.4074,0.0217,au,au,0.38
267103566,113952,2316533,72,286,7.9444,0.0559,19.7183,0.0111,2.867,8.6273,0.0042,0.0798,0.0046,au,au,0.47
1470536995612946433,65360,1605495,24,87,7.25,0.1576,4.3478,0.0494,1.7593,8.8958,0.0087,0.0845,0.0068,au,au,0.5
26976839,97606,1675645,91,276,6.0659,0.0337,23.3333,0.0063,6.8762,0.862,0.0057,0.1662,0.0152,au,au,0.45
1584112997848715270,124383,2661752,105,327,6.2286,0.0299,16.3462,0.0071,4.0789,0.0,0.0011,0.0283,0.003,au,au,0.49
3975878773,59222,1083596,31,69,4.4516,0.0742,16.6667,0.004,8.636,0.1721,0.0038,0.0603,0.0061,au,au,0.49
1446992780186644480,56374,408238,93,346,7.4409,0.0404,36.9565,0.0085,1.9989,2.6004,0.0014,0.0543,0.0012,au,au,0.46
26972430,190467,2933578,186,1871,20.1183,0.0544,5.9459,0.0169,1.7639,1.7362,0.0065,0.5416,0.0257,au,au,0.4
1586978875296612352,25929,473208,10,29,5.8,0.3222,11.1111,0.0274,4.2667,3.6377,0.0583,0.2292,0.0438,au,au,0.42
